
Day: 0 --------------------------
speed,energy
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
Day: 1 --------------------------
speed,energy
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,126
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,126
2.5,90
Day: 2 --------------------------
speed,energy
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,126
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,126
2.5,90
2.5,90
2.5,90
Day: 3 --------------------------
speed,energy
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,126
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,126
2.5,90
Day: 4 --------------------------
speed,energy
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,126
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,126
2.5,90
2.5,126
Day: 5 --------------------------
speed,energy
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,126
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,126
2.5,90
2.5,126
2.5,90
2.5,90
2.5,90
2.5,126
2.5,90
2.970306,90
2.5,90
2.5,90
2.5,90
2.5,126
2.5,126
Day: 6 --------------------------
speed,energy
2.5,90
2.5,90
2.5,90
2.5,126
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,126
2.5,126
2.5,126
2.5,90
2.5,90
2.5,90
2.970306,90
2.5,90
2.5,126
2.5,126
2.5,126
2.5,90
2.5,90
2.5,90
2.5,126
2.5,90
2.5,90
2.5,90
2.970306,90
2.5,126
Day: 7 --------------------------
speed,energy
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,126
2.5,126
2.5,90
2.5,90
2.5,90
2.5,90
2.5,126
2.5,90
2.5,126
2.5,90
2.5,90
2.970306,90
2.5,126
2.5,90
2.5,90
2.5,90
2.5,90
2.5,126
2.5,126
2.5,90
2.5,90
2.5,126
2.5,90
2.5,90
2.970306,90
Day: 8 --------------------------
speed,energy
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,126
2.5,90
2.5,90
2.5,90
2.5,126
2.5,90
2.5,126
2.970306,90
2.5,126
2.5,90
2.5,90
2.5,90
2.5,90
2.5,126
2.5,90
2.5,126
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.950676,90
2.5,90
2.5,126
2.5,90
2.5,126
2.5,126
2.5,126
2.5,90
2.5,126
2.5,90
Day: 9 --------------------------
speed,energy
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,126
2.5,126
2.970306,90
2.5,126
2.5,90
2.5,90
2.5,126
2.5,126
2.5,90
2.5,90
2.5,90
2.5,90
2.950676,90
2.5,90
2.5,90
2.5,126
2.5,126
2.5,90
2.5,90
2.5,90
2.5,126
2.950676,90
2.5,90
2.5,126
2.5,126
Day: 10 --------------------------
speed,energy
2.5,90
2.5,90
2.5,90
2.5,90
2.5,126
2.970306,90
2.5,126
2.5,126
2.5,126
2.5,126
2.5,90
2.5,90
2.5,90
2.5,126
2.5,90
2.5,126
2.950676,90
2.5,126
2.5,126
2.5,90
2.5,90
2.5,90
2.5,126
2.970306,90
2.5,126
2.5,90
2.5,90
2.950676,90
2.5,126
Day: 11 --------------------------
speed,energy
