
Day: 0 --------------------------
speed,energy
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
Day: 1 --------------------------
speed,energy
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,126
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.833703,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
Day: 2 --------------------------
speed,energy
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,126
2.5,90
2.5,126
2.833703,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.833703,90
2.5,90
2.5,90
2.5,90
Day: 3 --------------------------
speed,energy
2.5,90
2.5,90
2.5,90
2.5,90
2.5,126
2.5,126
2.833703,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,126
2.833703,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,126
2.833703,90
2.5,90
2.5,90
2.5,90
2.5,90
2.833703,90
2.5,90
2.5,90
Day: 4 --------------------------
speed,energy
2.5,90
2.5,90
2.5,90
2.5,126
2.5,126
2.833703,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,126
2.833703,90
2.5,126
2.5,90
2.5,90
2.5,90
2.5,90
2.833703,90
2.5,90
2.5,90
2.5,90
2.5,90
2.833703,90
2.5,90
2.5,90
2.5,90
2.5,126
2.5,90
2.5,90
2.5,126
2.833703,90
2.5,90
2.5,90
2.5,90
2.833703,90
2.833703,90
Day: 5 --------------------------
speed,energy
2.5,90
2.5,126
2.5,90
2.5,90
2.5,90
2.5,126
2.833703,90
2.5,126
2.5,90
2.5,90
2.5,90
2.833703,90
2.5,90
2.5,90
2.833703,90
2.5,90
2.5,126
2.5,90
2.833703,90
2.5,90
2.5,90
2.833703,90
2.833703,90
2.5,90
2.5,126
2.5,90
2.5,90
2.5,90
2.833703,90
2.5,90
2.5,90
2.5,90
2.833703,90
2.833703,90
2.5,90
2.833703,90
Day: 0 --------------------------
speed,energy
Day: 0 --------------------------
speed,energy
Day: 1 --------------------------
speed,energy
Day: 2 --------------------------
speed,energy
Day: 0 --------------------------
speed,energy
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
Day: 1 --------------------------
speed,energy
2.5,90
2.5,90
2.5,90
2.5,126
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.842855,90
2.842855,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
3.081463,90
3.081463,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,126
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,126
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
Day: 2 --------------------------
speed,energy
2.5,90
2.5,90
2.5,90
2.5,126
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.842855,90
2.842855,90
2.5,90
2.5,90
3.081463,90
3.081463,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.753603,90
2.753603,126
2.5,90
2.5,90
3.081259,90
3.081259,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,126
2.5,90
2.5,90
2.5,90
2.5,126
2.5,90
2.5,90
2.5,90
2.5,126
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
3.081463,90
3.081463,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
Day: 3 --------------------------
speed,energy
Day: 0 --------------------------
speed,energy
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
Day: 1 --------------------------
speed,energy
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
Day: 2 --------------------------
speed,energy
2.5,90
2.5,90
2.5,90
2.788661,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.925293,90
2.5,90
2.5,90
2.5,90
2.5,90
Day: 3 --------------------------
speed,energy
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
3.248842,90
2.5,90
2.5,90
2.5,90
2.925293,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,126
2.5,90
2.5,90
2.5,90
2.5,126
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
Day: 4 --------------------------
speed,energy
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
3.248842,90
2.5,90
3.133137,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,126
2.5,90
2.5,90
2.5,90
2.5,126
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
3.248842,90
2.5,90
2.5,126
2.5,90
2.5,126
Day: 5 --------------------------
speed,energy
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
3.248842,90
2.5,90
3.133137,90
2.5,90
2.5,90
2.5,90
2.5,126
2.5,90
2.5,90
2.5,90
2.5,90
3.248842,90
2.5,90
2.5,126
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
3.248842,90
2.5,90
2.5,90
2.5,126
2.5,90
2.5,90
Day: 6 --------------------------
speed,energy
2.5,90
2.5,126
2.5,90
3.248842,90
2.5,90
3.133137,90
2.5,90
2.5,90
2.5,90
2.5,90
4.214315,90
2.5,90
2.5,126
2.5,90
2.5,90
2.5,90
3.248842,90
2.5,90
2.5,126
2.5,126
2.5,90
2.5,90
3.248842,90
2.5,90
3.133137,90
2.5,90
2.5,90
3.248842,90
2.5,90
3.248842,90
3.197862,90
2.5,126
2.5,90
Day: 7 --------------------------
speed,energy
2.5,126
2.5,90
3.248842,90
2.5,90
2.5,90
2.5,90
2.5,90
4.214315,90
2.5,176.4
2.5,90
2.5,90
2.5,90
3.248842,90
2.5,90
2.5,126
3.248842,90
3.133137,90
2.5,90
3.248842,90
2.5,90
3.248842,90
3.197862,90
2.5,126
2.5,90
2.5,90
2.5,90
2.5,90
2.5,126
2.5,90
3.248842,90
2.5,90
3.248842,90
2.5,90
3.248842,90
3.197862,90
2.5,126
Day: 8 --------------------------
speed,energy
2.5,90
4.214315,90
2.5,176.4
2.5,90
2.5,90
3.248842,90
2.5,90
2.5,126
3.248842,90
3.248842,90
2.5,90
3.248842,90
3.197862,90
2.5,126
2.5,90
2.5,90
2.5,90
3.248842,90
2.5,90
3.248842,90
2.5,90
3.248842,90
3.197862,90
2.5,90
4.214315,90
2.5,90
2.5,90
2.5,90
3.248842,90
2.5,126
2.5,90
2.5,90
2.5,90
3.248842,90
2.891801,90
3.248842,90
3.197862,90
Day: 0 --------------------------
speed,energy
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
2.5,90
Day: 1 --------------------------
speed,energy
Day: 0 --------------------------
speed,energy
Day: 0 --------------------------
